Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-11-17 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-17 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-17 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-17 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-17 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 06:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 07:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 08:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 09:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 10:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 11:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 12:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 13:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 14:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 15:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 16:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 17:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 18:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-18 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 06:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 07:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 08:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 09:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 10:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 11:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 12:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 13:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 14:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 15:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 16:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 17:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 18:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-19 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 06:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 07:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 08:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 09:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 10:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 11:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 12:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 13:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 14:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 15:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 16:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 17:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 18:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-20 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 06:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 07:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 08:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 09:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 10:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 11:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 12:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 13:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 14:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 15:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 16:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 17:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 18:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-21 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 06:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 07:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 08:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 09:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 10:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 11:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 12:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 13:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 14:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 15:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 16:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 17:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 18:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-22 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 06:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 07:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 08:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 09:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 10:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 11:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 12:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 13:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 14:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 15:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 16:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 17:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 18:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 19:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 20:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 21:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 22:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-23 23:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-24 00:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-24 01:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-24 02:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-24 03:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-24 04:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-11-24 05:00:00,Rwanda,Rwanda,RW,185.66,261.07,63.69,63.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
